valuation per sqft	address	zone	sqft	valuation	link
253	203 BROADWAY	MR5	3049	$771,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=12240
253	373 HIGHLAND AVE	MR4	47045	$11,920,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=226
254	236 ELM ST	MR4	10019	$2,544,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=251
255	75 PROSPECT ST	MR4	3920	$1,001,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=12841
257	56 ALSTON ST	MR4	4356	$1,117,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1527
257	349 SOMERVILLE AVE	MR5	4792	$1,229,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1170
257	7 MELVIN ST	MR5	3049	$782,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=12254
257	30 COLLEGE AVE	MR4	13504	$3,469,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=154
258	482 BROADWAY	MR4	3049	$786,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=514
258	480 BROADWAY	MR4	3485	$898,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=7531
258	710 BROADWAY	MR4	3485	$900,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=289
260	118 BROADWAY	MR5	3920	$1,017,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1463
260	7 KENNESON RD	MR5	3485	$905,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1041
261	516 SOMERVILLE AVE	MR4	4792	$1,251,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=9626
262	1167 BROADWAY	MR4	4792	$1,255,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=34
264	8 MELVIN ST	MR5	3920	$1,034,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=12312
267	517 MEDFORD ST	MR4	1307	$348,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=524
268	379 SOMERVILLE AVE	MR5	3485	$933,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=941
268	63 BOW ST	MR5	3049	$818,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=10663
270	16 BOW ST	MR5	6534	$1,764,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1164
